txt_r1_ASR,txt_r1,txt_r5_ASR,txt_r5,txt_r10_ASR,txt_r10,img_r1_ASR,img_r1,img_r5_ASR,img_r5,img_r10_ASR,img_r10,model,num_of_img
74.66,25.1,64.53,35.4,62.7,37.3,96.14,3.54,95.55,4.34,95.47,4.48,ALBEF,1000
25.89,71.2,8.1,91.6,4.67,95.2,50.16,40.5,31.39,64.12,23.66,73.34,ViT-B/16,1000
97.18,2.9,84.47,14.56,82.7,16.86,99.3,0.68,98.71,1.156,98.69,1.188,ALBEF,5000
85.89,13.64,28.66,69.64,17.99,80.3,91.01,8.48,59.33,38.78,48.19,50.488,ViT-B/16,5000
99.37,1.1,95.69,5.4,91.1,10.93,99.58,0.292,99.16,0.626,99.17,0.66,ALBEF,10000
92.52,6.69,62.72,35.02,29.67,69.39,95.75,4.332,79.61,20.886,62.56,38.502,ViT-B/16,10000
99.69,0.395,98.1,1.995,96.0,3.99,99.7,0.147,99.32,0.315,99.33,0.349,ALBEF,20000
98.04,3.355,83.7,17.265,64.63,34.66,97.74,2.143,89.84,10.651,78.57,20.804,ViT-B/16,20000
